Libro de Compras;;;;;;;;;;;;;
Empresa :ACE AQUATEC SPA / Periodo : 01-08-25 al 30-08-25;;;;;;;;;;;;;
"Fecha 
Documento";"Fecha
Contab";"Correlativo
Interno";"Tipo Factura
Recibida";"Nro
Factura";R.U.T.;Razon Social;;Neto;I.V.A.;Exento;I.V.A Adicional;I.V.A No Rec;Total
07-08-2025;07-08-2025;20250800026;Declaracion de Ingreso (Importacion);237676591;608050000;TESORERIA GENERAL DE LA REPUBLICA;;;104.450;;;;104.450
 ;;;;;;;;;;;;;
;Registros ;;1;;Total ;Declaracion de Ingreso (Importacion);;;104.450;;;;104.450
31-07-2025;01-08-2025;20250800004;Factura de Compra Electronica Exenta;186;777928961;DELTA CONSULTORES LIMITADA;;;;292.398;;;292.398
01-08-2025;01-08-2025;20250800015;Factura de Compra Electronica Exenta;5288;777163124;RSM CHILE ACCOUNTING TAX AND CONSULTING SERVICES;;;;1.331.915;;;1.331.915
 ;;;;;;;;;;;;;
;Registros ;;2;;Total ;Factura de Compra Electronica Exenta;;;;1.624.313;;;1.624.313
30-07-2025;01-08-2025;20250800003;Factura de compras Electrónica afectas;20563;763242927;GRAFICA IMPRENTA Y DISENO ENSENADA LIMITADA                 ;;62.000;11.780;;;;73.780
05-08-2025;05-08-2025;20250800005;Factura de compras Electrónica afectas;15903;760802603;HOTELERA INSULAR LIMITADA;;138.656;26.345;;;;165.001
05-08-2025;05-08-2025;20250800006;Factura de compras Electrónica afectas;2713;76545395K;INMOBILIARIA E INVERSIONES LOS GEMELOS SPA;;33.000;6.270;;;;39.270
01-08-2025;01-08-2025;20250800007;Factura de compras Electrónica afectas;2706;76545395K;INMOBILIARIA E INVERSIONES LOS GEMELOS SPA;;1.292.740;245.621;;;;1.538.361
25-08-2025;25-08-2025;20250800008;Factura de compras Electrónica afectas;2729;76545395K;INMOBILIARIA E INVERSIONES LOS GEMELOS SPA;;419.173;79.643;;;;498.816
25-08-2025;25-08-2025;20250800009;Factura de compras Electrónica afectas;2730;76545395K;INMOBILIARIA E INVERSIONES LOS GEMELOS SPA;;417.525;79.330;;;;496.855
19-08-2025;19-08-2025;20250800011;Factura de compras Electrónica afectas;72205492;761248901;TELEFONICA MOVILES CHILE S.A.;;20.978;3.986;;;;24.964
11-08-2025;11-08-2025;20250800012;Factura de compras Electrónica afectas;5509;761876074;SERVICIOS E INVERSIONES IRC LIMITADA;;30.000;5.700;;;;35.700
17-08-2025;17-08-2025;20250800013;Factura de compras Electrónica afectas;1683700;770738512;STARLINK CHILE SPA                                          ;;80.672;15.328;;;;96.000
21-08-2025;21-08-2025;20250800014;Factura de compras Electrónica afectas;9670596;773982201;MercadoLibre Chile LTDA;;36.265;6.890;;;;43.155
05-08-2025;05-08-2025;20250800016;Factura de compras Electrónica afectas;2633639;937370008;GTD MANQUEHUE S.A.;;27.425;5.211;;;;32.636
31-07-2025;01-08-2025;20250800017;Factura de compras Electrónica afectas;6271116;967115908;Manantial S.A;;19.790;3.760;;;;23.550
27-08-2025;27-08-2025;20250800018;Factura de compras Electrónica afectas;52823762;97036000K;Santander - Chile;;24.692;4.692;;;;29.384
06-08-2025;06-08-2025;20250800019;Factura de compras Electrónica afectas;2296;760269646;GRUPO 47 SERVICIOS DE ADMINISTRACION DE PERSONAL LIMITADA   ;;557.500;105.925;;;;663.425
06-08-2025;06-08-2025;20250800020;Factura de compras Electrónica afectas;2297;760269646;GRUPO 47 SERVICIOS DE ADMINISTRACION DE PERSONAL LIMITADA   ;;5.000;950;;;;5.950
05-08-2025;05-08-2025;20250800021;Factura de compras Electrónica afectas;2295;760269646;GRUPO 47 SERVICIOS DE ADMINISTRACION DE PERSONAL LIMITADA   ;;562.500;106.875;;;;669.375
18-08-2025;18-08-2025;20250800022;Factura de compras Electrónica afectas;972;760873276;MAESTRANZA RIGOBERTO CUEVAS MARTINEZ EMPRESA INDIVIDUAL DE R;;2.562.000;486.780;;;;3.048.780
13-08-2025;13-08-2025;20250800023;Factura de compras Electrónica afectas;971;760873276;MAESTRANZA RIGOBERTO CUEVAS MARTINEZ EMPRESA INDIVIDUAL DE R;;380.000;72.200;;;;452.200
13-08-2025;13-08-2025;20250800024;Factura de compras Electrónica afectas;970;760873276;MAESTRANZA RIGOBERTO CUEVAS MARTINEZ EMPRESA INDIVIDUAL DE R;;380.000;72.200;;;;452.200
12-07-2025;01-08-2025;20250800025;Factura de compras Electrónica afectas;12774755;967564303;CHILEXPRESS S.A.                                            ;;20.358;3.868;;;;24.226
 ;;;;;;;;;;;;;
;Registros ;;20;;Total ;Factura de compras Electrónica afectas;;7.070.274;1.343.354;;;;8.413.628
18-08-2025;18-08-2025;20250800001;Nota Credito Compra Electronica Afecta;71;760873276;MAESTRANZA RIGOBERTO CUEVAS MARTINEZ EMPRESA INDIVIDUAL DE R;;-380.000;-72.200;;;;-452.200
18-08-2025;18-08-2025;20250800002;Nota Credito Compra Electronica Afecta;72;760873276;MAESTRANZA RIGOBERTO CUEVAS MARTINEZ EMPRESA INDIVIDUAL DE R;;-380.000;-72.200;;;;-452.200
06-08-2025;06-08-2025;20250800010;Nota Credito Compra Electronica Afecta;98;760269646;GRUPO 47 SERVICIOS DE ADMINISTRACION DE PERSONAL LIMITADA   ;;-562.500;-106.875;;;;-669.375
 ;;;;;;;;;;;;;
;Registros ;;3;;Total ;Nota Credito Compra Electronica Afecta;;-1.322.500;-251.275;;;;-1.573.775
;Tipo Factura Recibida ;;;;Cant.Reg;Exento;Neto;I.V.A.;Otros Imp.;;I.V.A. No Rec;Total;
;Declaracion de Ingreso (Importacion);;;;1;;;104.450;;;;104.450;
;Factura de Compra Electronica Exenta;;;;2;1.624.313;;;;;;1.624.313;
;Factura de compras Electrónica afectas;;;;20;;7.070.274;1.343.354;;;;8.413.628;
;Nota Credito Compra Electronica Afecta;;;;3;;-1.322.500;-251.275;;;;-1.573.775;
 ;;;;;;;;;;;;;
;Total Resumen :;;;;26;1.624.313;5.747.774;1.196.529;;;;8.568.616;
 ;;;;;;;;;;;;;
;;;;;;;;;;;;Página 1 de 1;
